"Departamento","todaSemana","NoTodaSemana"
"Amazonas",60437,18934
"Áncash",218655,27995
"Apurímac",95096,12818
"Arequipa",295356,43526
"Ayacucho",131789,20417
"Cajamarca",249027,47076
"Callao",217279,14778
"Cusco",237459,35128
"Huancavelica",71453,10749
"Huánuco",106549,19824
"Ica",131790,61679
"Junín",225002,37168
"La Libertad",302200,73558
"Lambayeque",230536,21097
"Lima",2011906,180251
"Loreto",87272,16394
"Madre de Dios",27094,2845
"Moquegua",44620,5156
"Pasco",29827,14735
"Piura",248993,112112
"Puno",179108,31263
"San Martín",146903,22696
"Tacna",81354,7107
"Tumbes",31307,19715
"Ucayali",67849,6400
